Restaurants_Name,Cuisine,area,region,Discount,cost_of_two,ratings
Zenforest Coffee Roasters,Cafe,Sahakara Nagar,North Bengaluru,35,2500,4.0
Zenforest Coffee Roasters,Cafe,Sahakara Nagar,North Bengaluru,35,2500,4.0
Tuk Tuk Thai - Pure Veg Asian Fine Dine,Asian,JP Nagar,South Bengaluru,25,2000,4.8
Tuk Tuk Thai - Pure Veg Asian Fine Dine,Asian,JP Nagar,South Bengaluru,25,2000,4.8
Jollygunj,Indian,JP Nagar,South Bengaluru,25,1800,4.2
Jollygunj,Indian,JP Nagar,South Bengaluru,25,1800,4.2
Jamie Oliver's Pizzeria,Pizza,Koramangala,South Bengaluru,45,2000,4.0
Jamie Oliver's Pizzeria,Pizza,Koramangala,South Bengaluru,45,2000,4.0
Rajdhani Thali Restaurant,Rajasthani,Indiranagar,East Bengaluru,25,2000,4.5
Rajdhani Thali Restaurant,Rajasthani,Indiranagar,East Bengaluru,25,2000,4.5
Deck 6 Rooftop Lounge,"Indian, Pan Asian, Continental",Chethan International,Bengaluru,45,1500,4.0
Deck 6 Rooftop Lounge,"Indian, Pan Asian, Continental",Chethan International,Bengaluru,45,1500,4.0
Cafe Happy Place,"American, European",R.M.V. 2nd Stage,Central Bengaluru,35,1000,5.0
Cafe Happy Place,"American, European",R.M.V. 2nd Stage,Central Bengaluru,35,1000,5.0
Republic Of Noodles,Pan Asian,,,25,1500,4.0
Republic Of Noodles,Pan Asian,,,25,1500,4.0
Haveli Restaurant,"Chinese, Indian","4th Block, Jayanagar",South Bengaluru,25,750,5.0
Haveli Restaurant,"Chinese, Indian","4th Block, Jayanagar",South Bengaluru,25,750,5.0
The Indian lounge,"Indian, European",Brookefield,East Bengaluru,25,400,4.0
The Indian lounge,"Indian, European",Brookefield,East Bengaluru,25,400,4.0
Mirror ,"Finger Food, Cocktail Menu",Koramangala,South Bengaluru,35,2000,1.7
Mirror ,"Finger Food, Cocktail Menu",Koramangala,South Bengaluru,35,2000,1.7
Saiko Sushi House,Japanese,"Rajiv Gandhi Nagar, Kodigehalli",North Bengaluru,25,800,5.0
Saiko Sushi House,Japanese,"Rajiv Gandhi Nagar, Kodigehalli",North Bengaluru,25,800,5.0
Fyole Cafe,Bakery,"Phoenix Mall Of Asia, Yelahanka",Bengaluru,45,2000,5.0
Fyole Cafe,Bakery,"Phoenix Mall Of Asia, Yelahanka",Bengaluru,45,2000,5.0
Tiki Village Pub,Multicuisine,Jalahalli,North Bengaluru,35,2000,4.2
Tiki Village Pub,Multicuisine,Jalahalli,North Bengaluru,35,2000,4.2
The Persian Terrace,Persian,,,40,2500,4.7
The Persian Terrace,Persian,,,40,2500,4.7
